model,top1,top5
alexnet,43.45,20.91
vgg11,30.98,11.37
vgg13,30.07,10.75
vgg16,28.41,9.62
vgg19,27.62,9.12
vgg11_bn,29.62,10.19
vgg13_bn,28.45,9.63
vgg16_bn,26.63,8.5
vgg19_bn,25.76,8.15
resnet18,30.24,10.92
resnet34,26.7,8.58
resnet50,23.85,7.13
resnet101,22.63,6.44
resnet152,21.69,5.94
squeezenet1_0,41.9,19.58
squeezenet1_1,41.81,19.38
densenet_121,25.35,7.83
densenet_169,24,7
densenet_201,22.8,6.43
densenet_161,22.35,6.2
inception_v3,22.55,6.44
googlenet,30.22,10.47
shufflenet_v2_x2_0,30.64,11.68
mobilenet_v2,28.12,9.71
resnext50_32x4d,22.38,6.3
resnext101_32x8d,20.69,5.47
wide_resnet50_2,21.49,5.91
wide_resnet101_2,21.16,5.72
mnasnet1_0,26.49,8.456